"DisplayName","Package","Version","Hide","Notes","Type"
"Azure.AI.FormRecognizer","Azure.AI.FormRecognizer","1.0.0-preview.3","","",""
"Azure.AI.InkRecognizer","Azure.AI.InkRecognizer","1.0.0-preview.1","","",""
"Azure.AI.TextAnalytics","Azure.AI.TextAnalytics","1.0.1","","",""
"Azure.Analytics.Synapse.AccessControl","Azure.Analytics.Synapse.AccessControl","1.0.0-preview.1","","",""
"Azure.Analytics.Synapse.Artifacts","Azure.Analytics.Synapse.Artifacts","1.0.0-preview.1","","",""
"Azure.Analytics.Synapse.Spark","Azure.Analytics.Synapse.Spark","1.0.0-preview.1","","",""
"Azure.AspNetCore.DataProtection.Blobs","Azure.AspNetCore.DataProtection.Blobs","1.0.0-preview.1","","",""
"Azure.AspNetCore.DataProtection.Keys","Azure.AspNetCore.DataProtection.Keys","1.0.0-preview.1","","",""
"Azure.Base","Azure.Base","1.0.0-preview.3","","",""
"Azure.Batch.FileStaging","Azure.Batch.FileStaging","8.0.1","true","",""
"Azure.Core","Azure.Core","1.2.2","","",""
"Azure.Core.Experimental","Azure.Core.Experimental","0.1.0-preview.1","","",""
"Azure.Core.Extensions","Azure.Core.Extensions","1.0.0-preview.6","","",""
"Azure.Cosmos","Azure.Cosmos","4.0.0-preview3","","Will Replace: Microsoft.Azure.Cosmos",""
"Azure.Data.AppConfiguration","Azure.Data.AppConfiguration","1.0.0","","",""
"Azure.DCAP.Windows","Azure.DCAP.Windows","1.2.0","true","",""
"Azure.DigitalTwins.Core","Azure.DigitalTwins.Core","1.0.0-preview.2","","",""
"Azure.Extensions.AspNetCore.Configuration.Secrets","Azure.Extensions.AspNetCore.Configuration.Secrets","1.0.0","","",""
"Azure.Extensions.AspNetCore.DataProtection.Blobs","Azure.Extensions.AspNetCore.DataProtection.Blobs","1.0.0","","",""
"Azure.Extensions.AspNetCore.DataProtection.Keys","Azure.Extensions.AspNetCore.DataProtection.Keys","1.0.0","","",""
"Azure.Extensions.Configuration.Secrets","Azure.Extensions.Configuration.Secrets","1.0.0-preview.1","","",""
"Azure.Identity","Azure.Identity","1.2.0-preview.4","","",""
"Azure.Messaging.EventHubs","Azure.Messaging.EventHubs","5.1.0","","Replaces: Microsoft.Azure.EventHubs",""
"Azure.Messaging.EventHubs.Processor","Azure.Messaging.EventHubs.Processor","5.1.0","","Replaces: Microsoft.Azure.EventHubs.Processor",""
"Azure.Messaging.ServiceBus","Azure.Messaging.ServiceBus","7.0.0-preview.3","","Will Replace: Microsoft.Azure.ServiceBus",""
"Azure.ResourceManager.AppConfiguration","Azure.ResourceManager.AppConfiguration","1.0.0-preview.1","","",""
"Azure.ResourceManager.Compute","Azure.ResourceManager.Compute","1.0.0-preview.1","","",""
"Azure.ResourceManager.EventHubs","Azure.ResourceManager.EventHubs","1.0.0-preview.1","","",""
"Azure.ResourceManager.KeyVault","Azure.ResourceManager.KeyVault","1.0.0-preview.1","","",""
"Azure.ResourceManager.Network","Azure.ResourceManager.Network","1.0.0-preview.1","","",""
"Azure.ResourceManager.Resources","Azure.ResourceManager.Resources","1.0.0-preview.1","","",""
"Azure.ResourceManager.Storage","Azure.ResourceManager.Storage","1.0.0-preview.1","","",""
"Azure.Search.Documents","Azure.Search.Documents","1.0.0-preview.4","","",""
"Azure.Security.KeyVault.Certificates","Azure.Security.KeyVault.Certificates","4.1.0-preview.1","","Replaces: Microsoft.Azure.KeyVault",""
"Azure.Security.KeyVault.Keys","Azure.Security.KeyVault.Keys","4.1.0-preview.1","","Replaces: Microsoft.Azure.KeyVault",""
"Azure.Security.KeyVault.Secrets","Azure.Security.KeyVault.Secrets","4.1.0-preview.1","","Replaces: Microsoft.Azure.KeyVault",""
"Azure.Storage.Blobs","Azure.Storage.Blobs","12.5.0-preview.4","","Replaces: Microsoft.Azure.Storage.Blob",""
"Azure.Storage.Blobs.Batch","Azure.Storage.Blobs.Batch","12.2.1","","",""
"Azure.Storage.Blobs.Batching","Azure.Storage.Blobs.Batching","12.0.0-preview.4","","",""
"Azure.Storage.Common","Azure.Storage.Common","12.5.0-preview.4","","Replaces: Microsoft.Azure.Storage.Common",""
"Azure.Storage.Files","Azure.Storage.Files","12.0.0-preview.4","","",""
"Azure.Storage.Files.DataLake","Azure.Storage.Files.DataLake","12.2.2","","",""
"Azure.Storage.Files.Shares","Azure.Storage.Files.Shares","12.2.3","","Replaces: Microsoft.Azure.Storage.File",""
"Azure.Storage.Queues","Azure.Storage.Queues","12.4.0-preview.4","","Replaces: Microsoft.Azure.Storage.Queue",""
"Azure.Template","Azure.Template","1.0.2-preview.15","","",""
"dotnet-Perks.CodeGen","dotnet-Perks.CodeGen","2.0.1","true","",""
"Hyak.Common","Hyak.Common","1.2.2","true","",""
"Hyak.Common.Tracing.Etw","Hyak.Common.Tracing.Etw","1.0.2","true","",""
"Hyak.Common.Tracing.Log4Net","Hyak.Common.Tracing.Log4Net","1.0.2","true","",""
"Microsoft.AutoRest.Common","Microsoft.AutoRest.Common","2.4.48","","",""
"Microsoft.Azure.ApplicationInsights","Microsoft.Azure.ApplicationInsights","0.9.0-preview","","",""
"Microsoft.Azure.ApplicationInsights.Query","Microsoft.Azure.ApplicationInsights.Query","0.9.0-preview","","",""
"Microsoft.Azure.AppService","Microsoft.Azure.AppService","0.2.2-alpha","","",""
"Microsoft.Azure.AppService.ApiApps.Common","Microsoft.Azure.AppService.ApiApps.Common","0.9.36","","",""
"Microsoft.Azure.AppService.ApiApps.Service","Microsoft.Azure.AppService.ApiApps.Service","0.9.64","","",""
"Microsoft.Azure.Attestation","Microsoft.Azure.Attestation","0.10.0-preview","","",""
"Microsoft.Azure.Batch","Microsoft.Azure.Batch","13.0.0","","",""
"Microsoft.Azure.Batch.Apps.Cryptography","Microsoft.Azure.Batch.Apps.Cryptography","1.1.1.4","","",""
"Microsoft.Azure.Batch.Conventions.Files","Microsoft.Azure.Batch.Conventions.Files","3.5.1","","",""
"Microsoft.Azure.Batch.FileStaging","Microsoft.Azure.Batch.FileStaging","8.3.0","","",""
"Microsoft.Azure.CognitiveServices.AnomalyDetector","Microsoft.Azure.CognitiveServices.AnomalyDetector","0.8.0-preview","","",""
"Microsoft.Azure.CognitiveServices.ContentModerator","Microsoft.Azure.CognitiveServices.ContentModerator","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.FormRecognizer","Microsoft.Azure.CognitiveServices.FormRecognizer","0.8.0-preview","","",""
"Microsoft.Azure.CognitiveServices.Knowledge.QnAMaker","Microsoft.Azure.CognitiveServices.Knowledge.QnAMaker","2.0.0-preview.1","","",""
"Microsoft.Azure.CognitiveServices.Language.LUIS.Authoring","Microsoft.Azure.CognitiveServices.Language.LUIS.Authoring","3.2.0-preview.3","","",""
"Microsoft.Azure.CognitiveServices.Language.LUIS.Runtime","Microsoft.Azure.CognitiveServices.Language.LUIS.Runtime","3.0.0","","",""
"Microsoft.Azure.CognitiveServices.Language.SpellCheck","Microsoft.Azure.CognitiveServices.Language.SpellCheck","4.0.0","","",""
"Microsoft.Azure.CognitiveServices.Language.TextAnalytics","Microsoft.Azure.CognitiveServices.Language.TextAnalytics","4.1.0-preview.2","","Will be replaced by: Azure.AI.TextAnalytics",""
"Microsoft.Azure.CognitiveServices.Personalizer","Microsoft.Azure.CognitiveServices.Personalizer","0.8.0-preview","","",""
"Microsoft.Azure.CognitiveServices.Search.AutoSuggest","Microsoft.Azure.CognitiveServices.Search.AutoSuggest","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Search.CustomImageSearch","Microsoft.Azure.CognitiveServices.Search.CustomImageSearch","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Search.CustomSearch","Microsoft.Azure.CognitiveServices.Search.CustomSearch","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Search.EntitySearch","Microsoft.Azure.CognitiveServices.Search.EntitySearch","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Search.ImageSearch","Microsoft.Azure.CognitiveServices.Search.ImageSearch","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Search.LocalSearch","Microsoft.Azure.CognitiveServices.Search.LocalSearch","0.9.0-preview","","",""
"Microsoft.Azure.CognitiveServices.Search.NewsSearch","Microsoft.Azure.CognitiveServices.Search.NewsSearch","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Search.VideoSearch","Microsoft.Azure.CognitiveServices.Search.VideoSearch","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Search.VisualSearch","Microsoft.Azure.CognitiveServices.Search.VisualSearch","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Search.WebSearch","Microsoft.Azure.CognitiveServices.Search.WebSearch","2.0.0","","",""
"Microsoft.Azure.CognitiveServices.Vision.ComputerVision","Microsoft.Azure.CognitiveServices.Vision.ComputerVision","6.0.0-dev.20190919.3","","",""
