"Service","Package","Version","Hide","Notes"
"Azure.Batch.FileStaging","Azure.Batch.FileStaging","8.0.1","true",""
"Azure.Core","Azure.Core","1.2.1","",""
"Azure.Cosmos","Azure.Cosmos","4.0.0-preview3","","Will Replace: Microsoft.Azure.Cosmos"
"Azure.Data.AppConfiguration","Azure.Data.AppConfiguration","1.0.0","",""
"Azure.DCAP.Windows","Azure.DCAP.Windows","1.2.0","true",""
"Azure.Identity","Azure.Identity","1.1.1","",""
"Azure.Messaging.EventHubs","Azure.Messaging.EventHubs","5.1.0","","Replaces: Microsoft.Azure.EventHubs"
"Azure.Messaging.EventHubs.Processor","Azure.Messaging.EventHubs.Processor","5.1.0","","Replaces: Microsoft.Azure.EventHubs.Processor"
"Azure.Messaging.ServiceBus","Azure.Messaging.ServiceBus","7.0.0-preview.1","","Will Replace: Microsoft.Azure.ServiceBus"
"Azure.Security.KeyVault.Certificates","Azure.Security.KeyVault.Certificates","4.0.2","","Replaces: Microsoft.Azure.KeyVault"
"Azure.Security.KeyVault.Keys","Azure.Security.KeyVault.Keys","4.0.3","","Replaces: Microsoft.Azure.KeyVault"
"Azure.Security.KeyVault.Secrets","Azure.Security.KeyVault.Secrets","4.0.3","","Replaces: Microsoft.Azure.KeyVault"
"Azure.Storage.Blobs","Azure.Storage.Blobs","12.4.2","","Replaces: Microsoft.Azure.Storage.Blob"
"Azure.Storage.Blobs.Batch","Azure.Storage.Blobs.Batch","12.2.1","",""
"Azure.Storage.Common","Azure.Storage.Common","12.4.1","","Replaces: Microsoft.Azure.Storage.Common"
"Azure.Storage.Files.DataLake","Azure.Storage.Files.DataLake","12.2.0","",""
"Azure.Storage.Files.Shares","Azure.Storage.Files.Shares","12.2.1","","Replaces: Microsoft.Azure.Storage.File"
"Azure.Storage.Queues","Azure.Storage.Queues","12.3.0","","Replaces: Microsoft.Azure.Storage.Queue"
"dotnet-Perks.CodeGen","dotnet-Perks.CodeGen","2.0.1","true",""
"Hyak.Common","Hyak.Common","1.2.2","true",""
"Hyak.Common.Tracing.Etw","Hyak.Common.Tracing.Etw","1.0.2","true",""
"Hyak.Common.Tracing.Log4Net","Hyak.Common.Tracing.Log4Net","1.0.2","true",""
"Microsoft.AutoRest.Common","Microsoft.AutoRest.Common","2.4.48","",""
"Microsoft.Azure.AppService.ApiApps.Common","Microsoft.Azure.AppService.ApiApps.Common","0.9.36","",""
"Microsoft.Azure.AppService.ApiApps.Service","Microsoft.Azure.AppService.ApiApps.Service","0.9.64","",""
"Microsoft.Azure.Batch","Microsoft.Azure.Batch","13.0.0","",""
"Microsoft.Azure.Batch.Apps.Cryptography","Microsoft.Azure.Batch.Apps.Cryptography","1.1.1.4","",""
"Microsoft.Azure.Batch.Conventions.Files","Microsoft.Azure.Batch.Conventions.Files","3.5.1","",""
"Microsoft.Azure.Batch.FileStaging","Microsoft.Azure.Batch.FileStaging","8.3.0","",""
"Microsoft.Azure.CognitiveServices.ContentModerator","Microsoft.Azure.CognitiveServices.ContentModerator","2.0.0","",""
"Microsoft.Azure.CognitiveServices.Knowledge.QnAMaker","Microsoft.Azure.CognitiveServices.Knowledge.QnAMaker","1.1.0","",""
"Microsoft.Azure.CognitiveServices.Language.LUIS.Authoring","Microsoft.Azure.CognitiveServices.Language.LUIS.Authoring","3.1.0","",""
"Microsoft.Azure.CognitiveServices.Language.LUIS.Runtime","Microsoft.Azure.CognitiveServices.Language.LUIS.Runtime","3.0.0","",""
"Microsoft.Azure.CognitiveServices.Language.SpellCheck","Microsoft.Azure.CognitiveServices.Language.SpellCheck","4.0.0","",""
