Service,ServiceId,SDK,Plane,Language,Track1.Package,Track1.RepoLink,Track1.ColorCode,Track1.Deprecated,Track2.Package,Track2.RepoLink,Track2.ColorCode,Track2.Deprecated,PercentComplete,LatestRelease
Communication,0,Communication Chat,data,Android,,,11,false,azure-communication-chat,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/communication,10,false,1,10/25/2024
Communication,0,Communication Common,data,Android,,,11,false,azure-communication-common,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/communication,10,false,1,06/13/2025
Core Credential,0,Core Credential,data,Android,,,11,false,azure-core-credential,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/core,3,false,1,
Core HTTP,0,Core HTTP,data,Android,,,11,false,azure-core-http,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/core,3,false,1,
Core HTTP HttpUrlConnection,0,Core HTTP HttpUrlConnection,data,Android,,,11,false,azure-core-http-httpurlconnection,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/core,3,false,1,
Core HTTP OkHttp,0,Core HTTP OkHttp,data,Android,,,11,false,azure-core-http-okhttp,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/core,3,false,1,
Core Jackson,0,Core Jackson,data,Android,,,11,false,azure-core-jackson,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/core,3,false,1,
Core Logging,0,Core Logging,data,Android,,,11,false,azure-core-logging,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/core,3,false,1,
Core REST,0,Core REST,data,Android,,,11,false,azure-core-rest,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/core,3,false,1,
Core Test,0,Core Test,data,Android,,,11,false,azure-core-test,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/core,3,false,1,
Communication,0,azure-communication-ui,UNABLE TO BE DETERMINED,Android,azure-communication-ui,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/NA,3,false,,,1,false,0,
Communication,0,azure-communication-ui-calling,UNABLE TO BE DETERMINED,Android,azure-communication-ui-calling,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/NA,10,false,,,1,false,0,
Communication,0,azure-communication-ui-chat,UNABLE TO BE DETERMINED,Android,azure-communication-ui-chat,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/NA,3,false,,,1,false,0,
Notification Hubs,0,Notification Hubs,UNABLE TO BE DETERMINED,Android,notification-hubs-android-sdk,https://github.com/Azure/azure-sdk-for-android/tree/main/sdk/NA,10,false,,,1,false,0,
