Package,VersionGA,VersionPreview,DisplayName,ServiceName,RepoPath,MSDocs,GHDocs,Type,New,PlannedVersions,FirstGADate,Support,Hide,Replace,Notes
Azure.AI.AnomalyDetector,,3.0.0-preview.2,Anomaly Detector,Anomaly Detector,anomalydetector,,,client,TRUE,,,,,Microsoft.Azure.CognitiveServices.AnomalyDetector,
Azure.Data.AppConfiguration,1.0.2,1.1.0-beta.2,App Configuration,App Configuration,appconfiguration,,,client,TRUE,"1.0,09/01/2021",1/7/2020,active,,,
Azure.Extensions.AspNetCore.Configuration.Secrets,1.0.2,,ASP.NET Extension - Configuration Secrets,Extensions,extensions,,,client,TRUE,,6/5/2020,active,,,
Azure.Extensions.AspNetCore.DataProtection.Blobs,1.2.0,,ASP.NET Extension - DataProtection Blobs,Extensions,extensions,,,client,TRUE,,6/5/2020,active,,,
Azure.Extensions.AspNetCore.DataProtection.Keys,1.0.2,,ASP.NET Extension - DataProtection Keys,Extensions,extensions,,,client,TRUE,,6/5/2020,active,,,
Azure.Security.Attestation,,1.0.0-beta.2,Attestation,Attestation,attestation,,,client,TRUE,,,,,,
Azure.MixedReality.Authentication,1.0.0,,Azure Mixed Reality Authentication,Mixed Reality,mixedreality,,,client,TRUE,,2/23/2021,active,,,
Azure.MixedReality.ObjectAnchors.Conversion,,0.1.0-beta.1,Azure Object Anchors Conversion,Mixed Reality,objectanchors,,,client,TRUE,,,,,,
Azure.MixedReality.RemoteRendering,1.0.0,,Azure Remote Rendering,Mixed Reality,remoterendering,,,client,TRUE,,3/2/2021,active,,,
Azure.Search.Documents,11.2.0,11.3.0-beta.1,Cognitive Search,Search,search,,,client,TRUE,,7/7/2020,active,,Microsoft.Azure.Search,
Azure.Communication.Chat,1.0.0,,Communication Chat,Communication,communication,,,client,TRUE,,3/29/2021,active,,,
Azure.Communication.Common,1.0.0,,Communication Common,Communication,communication,,,client,TRUE,,3/29/2021,active,,,
Azure.Communication.Identity,1.0.0,,Communication Identity,Communication,communication,,,client,TRUE,,3/29/2021,active,,,
Azure.Communication.PhoneNumbers,,1.0.0-beta.6,Communication Phone Numbers,Communication,communication,,,client,TRUE,,,,,,
Azure.Communication.Sms,1.0.0,,Communication SMS,Communication,communication,,,client,TRUE,,3/29/2021,active,,,
Azure.Core,1.12.0,,Core,Core,core,,,client,TRUE,,10/29/2019,active,,,
