"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"sdk/data/azappconfig","","0.5.0","App Configuration","App Configuration","data/azappconfig","","","client","true","","","","","","","","","","",""
"sdk/containers/azcontainerregistry","","0.2.0","Container Registry","Container Registry","containers/azcontainerregistry","","","client","true","","","","","","","","","","",""
"sdk/azcore","1.7.0","1.8.0-beta.1","Core","Other","azcore","","","client","true","","07/12/2023","05/12/2022","","","","","","","",""
"sdk/data/azcosmos","","0.3.5","Cosmos DB","Cosmos DB","data/azcosmos","","","client","true","","","","","","","","","","",""
"sdk/messaging/azeventgrid","","0.1.0","Event Grid","Event Grid","messaging/azeventgrid","","","client","true","","","","","","","","","","","Needs Review"
"sdk/messaging/azeventhubs","1.0.1","","Event Hubs","Event Hubs","messaging/azeventhubs","","","client","true","","06/06/2023","05/08/2023","","","","","","","",""
"sdk/azidentity","1.3.0","1.4.0-beta.2","Identity","Identity","azidentity","","","client","true","","","05/12/2022","","","","","","","",""
"sdk/security/keyvault/azkeys","1.0.0","","Key Vault  - Keys","Key Vault","security/keyvault/azkeys","","","client","true","","07/18/2023","07/18/2023","","","","","","","",""
"sdk/security/keyvault/azadmin","1.0.0","","Key Vault - Administration","Key Vault","security/keyvault/azadmin","","","client","true","","07/17/2023","07/17/2023","","","","","","","",""
"sdk/security/keyvault/azcertificates","","0.11.0","Key Vault - Certificates","Key Vault","security/keyvault/azcertificates","","","client","true","","","","","","","","","","",""
"sdk/security/keyvault/azsecrets","1.0.0","","Key Vault - Secrets","Key Vault","security/keyvault/azsecrets","","","client","true","","07/17/2023","07/17/2023","","","","","","","",""
"sdk/monitor/azingest","","0.1.0","Monitor Ingestion","Monitor","monitor/azingest","","","client","true","","","","","","","","","","","Needs Review"
"sdk/monitor/azquery","1.1.0","","Monitor Query","Monitor","monitor/azquery","","","client","true","","05/09/2023","02/08/2023","","","","","","","",""
"sdk/cognitiveservices/azopenai","","0.1.0","Openai","Cognitiveservices","cognitiveservices/azopenai","","","client","true","","","","","","","","","","","Needs Review"
"sdk/tracing/azotel","","0.2.0","OpenTelemetry","Tracing","tracing/azotel","","","client","true","","","","","","","","","","",""
"sdk/messaging/azservicebus","1.4.0","","Service Bus","Service Bus","messaging/azservicebus","","","client","true","","06/06/2023","05/16/2022","","","","","","","",""
"sdk/storage/azblob","1.1.0","","Storage - Blobs","Storage","storage/azblob","","","client","true","","07/13/2023","02/07/2023","","","","","","","",""
"sdk/storage/azqueue","1.0.0","","Storage - Queues","Storage","storage/azqueue","","","client","true","","05/09/2023","05/09/2023","","","","","","","",""
"sdk/storage/azfile","1.0.0","","Storage File Share","Storage File Share","storage/azfile","","","client","true","","07/12/2023","07/12/2023","","","","","","","",""
"sdk/data/aztables","1.0.2","","Tables","Tables","data/aztables","","","client","true","","07/20/2023","05/16/2022","","","","","","","",""
"sdk/template/aztemplate","","0.1.0","Template","Template","template/aztemplate","","","client","true","","","","","true","","","","","","Hide internal package"
"sdk/resourcemanager/aad/armaad","1.1.0","","Resource Management - Active Directory","Active Directory","resourcemanager/aad/armaad","","","mgmt","true","","03/28/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/addons/armaddons","","0.2.0","Resource Management - Addons","Addons","resourcemanager/addons/armaddons","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/advisor/armadvisor","1.1.0","","Resource Management - Advisor","Advisor","resourcemanager/advisor/armadvisor","","","mgmt","true","","03/28/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/agrifood/armagrifood","","0.8.1","Resource Management - Agrifood","Agrifood","resourcemanager/agrifood/armagrifood","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/alertsmanagement/armalertsmanagement","","0.8.1","Resource Management - Alerts Management","Alerts Management","resourcemanager/alertsmanagement/armalertsmanagement","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/analysisservices/armanalysisservices","1.1.1","","Resource Management - Analysis Services","Analysis Services","resourcemanager/analysisservices/armanalysisservices","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/apimanagement/armapimanagement","1.1.1","","Resource Management - API Management","API Management","resourcemanager/apimanagement/armapimanagement","","","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/appcomplianceautomation/armappcomplianceautomation","","0.2.0","Resource Management - App Compliance Automation","App Compliance Automation","resourcemanager/appcomplianceautomation/armappcomplianceautomation","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/appconfiguration/armappconfiguration","2.0.0","","Resource Management - App Configuration","App Configuration","resourcemanager/appconfiguration/armappconfiguration","","NA","mgmt","true","","04/26/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/appplatform/armappplatform","1.1.0","2.0.0-beta.1","Resource Management - App Platform","App Platform","resourcemanager/appplatform/armappplatform","","NA","mgmt","true","","","05/16/2022","","","","","","","",""
"sdk/resourcemanager/appservice/armappservice","2.1.1","","Resource Management - App Service","App Service","resourcemanager/appservice/armappservice","","NA","mgmt","true","","04/14/2023","05/16/2022","","","","","","","",""
"sdk/resourcemanager/applicationinsights/armapplicationinsights","1.1.1","2.0.0-beta.2","Resource Management - Application Insights","Application Insights","resourcemanager/applicationinsights/armapplicationinsights","","NA","mgmt","true","","04/14/2023","06/02/2022","","","","","","azure-monitor","",""
"sdk/resourcemanager/azurearcdata/armazurearcdata","","0.6.1","Resource Management - Arc Data","Arc Data","resourcemanager/azurearcdata/armazurearcdata","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/attestation/armattestation","1.1.0","","Resource Management - Attestation","Attestation","resourcemanager/attestation/armattestation","","","mgmt","true","","03/28/2023","05/17/2022","","","","","","","",""
"sdk/resourcemanager/authorization/armauthorization","2.1.1","","Resource Management - Authorization","Authorization","resourcemanager/authorization/armauthorization","","NA","mgmt","true","","04/14/2023","06/01/2022","","","","","","","",""
"sdk/resourcemanager/automanage/armautomanage","1.1.1","","Resource Management - Automanage","Automanage","resourcemanager/automanage/armautomanage","","","mgmt","true","","04/14/2023","08/02/2022","","","","","","","",""
"sdk/resourcemanager/automation/armautomation","","0.8.1","Resource Management - Automation","Automation","resourcemanager/automation/armautomation","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/azuredata/armazuredata","","0.6.0","Resource Management - Azure Data","Azure Data","resourcemanager/azuredata/armazuredata","","","mgmt","true","","","","","","","","","","",""
"sdk/resourcemanager/azurestackhci/armazurestackhci","1.1.1","","Resource Management - Azure Stack HCI","Azure Stack HCI","resourcemanager/azurestackhci/armazurestackhci","","","mgmt","true","","04/14/2023","05/17/2022","","","","","","","",""
