"Package","GroupId","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","Hide","Notes"
"azure-ai-anomalydetector","com.azure","","3.0.0-beta.1","Anomaly Detector","Anomaly Detector","anomalydetector","","","client","true","",""
"azure-data-appconfiguration","com.azure","1.1.7","","App Configuration","App Configuration","appconfiguration","","","client","true","",""
"azure-search-documents","com.azure","11.1.2","11.2.0-beta.3","Cognitive Search","Search","search","","","client","true","","Replaces: azure-search"
"azure-communication-administration","com.azure","","1.0.0-beta.3","Communication Administration","Communication","communication","","","client","true","",""
"azure-communication-chat","com.azure","","1.0.0-beta.3","Communication Chat","Communication","communication","","","client","true","",""
"azure-communication-common","com.azure","","1.0.0-beta.3","Communication Common","Communication","communication","","","client","true","",""
"azure-communication-sms","com.azure","","1.0.0-beta.3","Communication Sms","Communication","communication","","","client","true","",""
"azure-core","com.azure","1.11.0","","Core","Core","core","","","client","true","",""
"azure-core-amqp","com.azure","2.0.0","","Core - AMQP","Core","core","","","client","true","",""
"azure-core-http-netty","com.azure","1.7.0","","Core - HTTP Netty","Core","core","","","client","true","",""
"azure-core-http-okhttp","com.azure","1.4.0","","Core - HTTP OkHttp","Core","core","","","client","true","",""
"azure-core-test","com.azure","1.5.1","","Core - Test","Core","core","","","client","true","",""
"azure-core-experimental","com.azure","","1.0.0-beta.8","Core Experimental","Core","core","","","client","true","",""
"azure-core-serializer-avro-apache","com.azure","","1.0.0-beta.5","Core Serializer Apache Avro","Core","core","","","client","true","",""
"azure-core-serializer-avro-jackson","com.azure","","1.0.0-beta.1","Core Serializer Apache Jackson","Core","core","","","client","true","",""
"azure-core-serializer-json-gson","com.azure","1.0.3","","Core Serializer GSON JSON","Core","core","","","client","true","",""
"azure-core-serializer-json-jackson","com.azure","1.1.0","","Core Serializer Jackson JSON","Core","core","","","client","true","",""
"azure-cosmos","com.azure","4.10.0","","Cosmos DB","Cosmos DB","cosmos","","","client","true","","Replaces: azure-cosmos 3.x"
"azure-digitaltwins-core","com.azure","1.0.1","","Digital Twins - Core","Digital Twins","digitaltwins","","","client","true","",""
"azure-messaging-eventgrid","com.azure","","2.0.0-beta.3","Event Grid","Event Grid","eventgrid","","","client","true","","Will replace: azure-eventgrid"
"azure-messaging-eventhubs","com.azure","5.3.1","5.4.0-beta.1","Event Hubs","Event Hubs","eventhubs","","","client","true","","Replaces: azure-eventhubs"
"azure-messaging-eventhubs-checkpointstore-blob","com.azure","1.3.1","1.4.0-beta.1","Event Hubs - Azure Blob Storage Checkpoint Store","Event Hubs","eventhubs","","","client","true","",""
"azure-data-schemaregistry","com.azure","","1.0.0-beta.4","Event Hubs - Schema Registry","Event Hubs","schemaregistry","","","client","true","",""
"azure-data-schemaregistry-avro","com.azure","","1.0.0-beta.4","Event Hubs - Schema Registry Avro","Event Hubs","schemaregistry","","","client","true","",""
"azure-ai-formrecognizer","com.azure","3.0.3","3.1.0-beta.1","Form Recognizer","Form Recognizer","formrecognizer","","","client","true","",""
"azure-identity","com.azure","1.2.1","","Identity","Identity","identity","","","client","true","",""
