"Service","ServiceName","Package","VersionGA","VersionPreview","RepoPath","MSDocs","GHDocs","Type"
"App Configuration","App Configuration","azure-appconfiguration","1.0.0","","appconfiguration","","",""
"Cognitive Search","Search","azure-search-documents","","1.0.0b4","search","","",""
"Core","Core","azure-core","1.6.0","","core","","",""
"Cosmos","Cosmos","azure-cosmos","4.0.0","","cosmos","","",""
"Event Hubs","Event Hubs","azure-eventhub","5.1.0","","eventhub","","",""
"Event Hubs - Azure Blob Storage Checkpoint Store","Event Hubs","azure-eventhub-checkpointstoreblob","1.1.0","","eventhub","","",""
"Event Hubs - Azure Blob Storage Checkpoint Store AIO","Event Hubs","azure-eventhub-checkpointstoreblob-aio","1.1.0","","eventhub","","",""
"Form Recognizer","Form Recognizer","azure-ai-formrecognizer","","1.0.0b3","formrecognizer","NA","",""
"Identity","Identity","azure-identity","1.3.1","1.4.0b5","identity","","",""
"Key Vault - Certificates","Key Vault","azure-keyvault-certificates","4.1.0","4.2.0b1","keyvault","","",""
"Key Vault - Keys","Key Vault","azure-keyvault-keys","4.1.0","4.2.0b1","keyvault","","",""
"Key Vault - Secrets","Key Vault","azure-keyvault-secrets","4.1.0","4.2.0b1","keyvault","","",""
"Service Bus","Service Bus","azure-servicebus","0.50.3","7.0.0b3","servicebus","","",""
"Storage - Blobs","Storage","azure-storage-blob","12.3.2","","storage","","",""
"Storage - File Data Lake","Storage","azure-storage-file-datalake","12.0.2","","storage","","",""
"Storage - File Shares","Storage","azure-storage-file-share","12.1.2","","storage","","",""
"Storage - Queues","Storage","azure-storage-queue","12.1.2","","storage","","",""
"Text Analytics","Text Analytics","azure-ai-textanalytics","1.0.0","","textanalytics","","",""
