"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","FirstPreviewDate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"azure_core","","0.32.0","Core","core","core","NA","NA","client","true","","","","02/18/2025","","","","","","","",""
"azure_core_amqp","","0.11.0","Core - AMQP","core","core","NA","NA","client","true","","","","02/18/2025","","","","","","","",""
"azure_core_macros","","0.6.0","Core - Macros","core","core","NA","NA","client","true","","","","08/01/2025","","","","","","","",""
"azure_core_opentelemetry","","0.6.0","Core - OpenTelemetry","core","core","NA","NA","client","true","","","","08/01/2025","","","","","","","",""
"azure_data_cosmos","","0.31.0","Cosmos DB","Cosmos DB","cosmos","NA","NA","client","true","","","","02/25/2025","","","","","","","",""
"azure_messaging_eventhubs","","0.11.0","Event Hubs","Event Hubs","eventhubs","NA","NA","client","true","","","","02/18/2025","","","","","","","",""
"azure_messaging_eventhubs_checkpointstore_blob","","0.5.0","EventHubs Checkpoint Store for Azure Blob Storage","Event Hubs","eventhubs","NA","NA","client","true","","","","09/16/2025","","","","","","","",""
"azure_identity","","0.32.0","Identity","Identity","identity","NA","NA","client","true","","","","02/18/2025","","","","","","","",""
"azure_security_keyvault_certificates","","0.10.0","Key Vault - Certificates","Key Vault","keyvault","NA","NA","client","true","","","","04/09/2025","","","","","","","",""
"azure_security_keyvault_keys","","0.11.0","Key Vault - Keys","Key Vault","keyvault","NA","NA","client","true","","","","02/19/2025","","","","","","","",""
"azure_security_keyvault_secrets","","0.11.0","Key Vault - Secrets","Key Vault","keyvault","NA","NA","client","true","","","","02/19/2025","","","","","","","",""
"azure_storage_blob","","0.9.0","Storage - Blobs","Storage","storage","NA","NA","client","true","","","","04/08/2025","","","","","","","",""
"typespec_client_core","","0.11.0","TypeSpec Client Core","TypeSpec","core","NA","NA","client","true","","","","02/18/2025","","","","","","","",""
"typespec","","0.12.0","TypeSpec Core","TypeSpec","core","NA","NA","client","true","","","","02/18/2025","","","","","","","",""
"typespec_macros","","0.11.0","TypeSpec Core Macros","TypeSpec","core","NA","NA","client","true","","","","02/18/2025","","","","","","","",""
"azure","","0.38.0","Azure SDK for Rust","Other","core","NA","NA","","false","","","","","","","true","","","","",""
"azure_ai_anomalydetector","","0.0.1","Anomaly Detector","Cognitive Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_ai_contentsafety","","0.0.1","Content Safety","Cognitive Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_ai_documentintelligence","","0.0.1","Document Intelligence","Cognitive Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_ai_formrecognizer","","0.0.1","Form Recognizer","Cognitive Services","NA","NA","NA","","false","","","","","","","true","","","","",""
"azure_ai_inference","","0.0.1","AI Inference","Cognitive Services","NA","NA","NA","","false","","","","","","","true","","","","",""
